SkuID	Weight
"4301050724"	0.45
"4301050752"	0.5
"4301050754"	0.45
"4301050755"	0.225
"4301050756"	0.225
"4301050757"	0.285
"4301050758"	0.5
"4301050760"	0.45
"4301050762"	0.45
"4301050764"	0.5
"4301050768"	0
"4301050821"	0.11
"4301050822"	0.45
"4301050827"	0.45
"4301050829"	0.27
"4301050839"	0.5
"4301050834"	0.5
"4301050837"	0.27
"4301050846"	0.45
"4301050847"	0.45
"4301050842"	0.45
"4301050843"	0.45
"4301050849"	0.45
"4301050851"	0.45
"4301050853"	0.45
"4301050855"	0.45
"4301050857"	0.5
"4301050859"	0.27
"4301050861"	0.5
"4301050871"	0.5
"4301050885"	0.42
"4301050896"	0.5
"4301050907"	0.5
"4301050908"	0.5
"4301050932"	0.5
"4301050934"	0.5
"4301050940"	0.35
"4301050941"	0.4
"4301050943"	0.35
"4301050950"	0.42
"4301050951"	0.42
"4301050959"	0.45
"4301050960"	0.45
"4301051048"	0.45
"4301050437"	0.47
"4301050555"	0.47
"4301050599"	0.5
"4301050600"	0.37
"4301050602"	0.5
"4301050605"	0.37
"4301050647"	0.37
"4301050648"	0.5
"4301050649"	0.5
"4301050650"	0.5
"4301050677"	0.25
"4301050679"	0.45
"4301050680"	0.3
"4301050965"	0.78
"4301050712"	0.27
"4301050713"	0.5
"4301050966"	0.78
"4301050691"	0.45
"4301050692"	0.45
"4301050705"	0.45
"4301050706"	0.27
"4301050707"	0.5
"4301050685"	0.5
"4301050974"	0.5
"4301050975"	0.45
"4301050978"	0.45
"4301050979"	0.45
"4301050983"	0.45
"4301050986"	0.45
"4301050988"	0.45
"4301050720"	0.27
"4301051027"	0.5
"4301051028"	0.5
"4301051030"	0.45
"4301051031"	0.45
"4301051034"	0.78
"4301051036"	0.5
"4301051038"	0.45
"4301051039"	0.45
"4301051041"	0.78
"4301051050"	0.45
"4301051051"	0.78
"4301050727"	0
"4301050736"	0
"4301050747"	0
"4301050749"	0.9
"4301050759"	1.5
"4301050761"	1.35
"4301050763"	1.35
"4301050769"	1.35
"4301050770"	0.9
"4301050771"	1.3
"4301050828"	1.35
"4301050838"	1.35
"4301050835"	1.3
"4301050836"	0.9
"4301050845"	1.35
"4301050844"	1.35
"4301050840"	1.35
"4301050841"	1.3
"4301050850"	1.35
"4301050852"	1.3
"4301050854"	1.35
"4301050856"	1.35
"4301050858"	1.35
"4301050860"	0.9
"4301050862"	1.3
"4301050872"	0.9
"4301050906"	0.9
"4301050931"	1.3
"4301050933"	1.3
"4301051002"	1.3
"4301051003"	1.3
"4301050995"	1.3
"4301050996"	1.3
"4301050997"	1.35
"4301050150"	0
"4301050365"	0
"4301050425"	0
"4301050435"	0
"4301050550"	0
"4301050606"	1.35
"4301050609"	0.25
"4301050651"	1.35
"4301050652"	1.35
"4301050653"	1.35
"4301051049"	1.3
"4301050711"	1.3
"4301050708"	1.3
"4301050709"	1.35
"4301050972"	1.35
"4301050973"	1.35
"4301050976"	1.35
"4301050977"	1.3
"4301050984"	1.35
"4301050985"	1.35
"4301050987"	1.3
"4301050998"	1.35
"4301050999"	1.35
"4301051000"	1.35
"4301051001"	1.35
"4301051026"	1.3
"4301051029"	1.35
"4301051032"	1.35
"4301051035"	1.3
"4301051037"	1.35
"4301051040"	1.35
"4301051043"	1.35
"4301051044"	1.35
"4301051045"	1.35
"4301051046"	1.35
"4301050909"	0.9
"4301010877"	1.3
"4301010879"	0
"4301010890"	1.35
"4301010906"	1.3
"4301010910"	1.35
"4301010913"	1.35
"4301010914"	1.35
"4301010917"	1.35
"4301010919"	1.35
"4301010920"	1.4
"4301010972"	1.35
"4301010989"	1.35
"4301010985"	1.35
"4301010986"	1.35
"4301010987"	1.35
"4301010991"	1.3
"4301011033"	1.35
"4301011038"	1.3
"4301011042"	1.35
"4301011043"	1.35
"4301011069"	1.3
"4301011072"	1.3
"4301010002"	0
"4301010022"	0
"4301010023"	0
"4301010454"	1.3
"4301010455"	0
"4301010456"	1.3
"4301010457"	0
"4301010659"	1.3
"4301010715"	1.3
"4301010755"	1.3
"4301010756"	1.3
"4301010759"	1.3
"4301010775"	1.3
"4301010785"	1.4
"4301010799"	1.4
"4301010801"	1.3
"4301011075"	1.35
"4301011076"	1.3
"4301010820"	1.4
"4301010835"	1.3
"4301010840"	1.4
"4301010849"	1.3
"4301010812"	1.3
"4301010815"	0.9
"4301011097"	1.35
"4301010865"	1.3
"4301010862"	0.5
"4301010863"	0.5
"4301011125"	1
"4301011126"	1
"4301011127"	1
"4301010861"	1.34
"4301011130"	1
"4301011131"	1
"4301011132"	1
"4301011133"	1
"4301011129"	1
"4301010894"	0.45
"4301010901"	0.4
"4301010902"	0.5
"4301010903"	0.5
"4301010905"	0.4
"4301010909"	0.4
"4301010911"	0.5
"4301010912"	0.5
"4301010918"	0.5
"4301010921"	0.5
"4301010922"	0.5
"4301010963"	0.5
"4301010964"	0.5
"4301010965"	0.5
"4301010966"	0.5
"4301010973"	0.4
"4301010983"	0.4
"4301010984"	0.5
"4301011006"	0.5
"4301011007"	0.4
"4301011005"	0.5
"4301010988"	0.4
"4301010990"	0.4
"4301011034"	0.4
"4301011037"	0.45
"4301011039"	0.5
"4301011040"	0.5
"4301011041"	0.5
"4301011044"	0.5
"4301011045"	0.5
"4301011046"	0.5
"4301011047"	0.4
"4301011048"	0.4
"4301011070"	0.4
"4301011073"	0.4
"4301010629"	0.5
"4301010638"	0.5
"4301010689"	0.5
"4301010716"	0.5
"4301010720"	0.5
"4301010721"	0.5
"4301010739"	0.5
"4301010740"	0.5
"4301010741"	0.5
"4301010742"	0.5
"4301010757"	0.5
"4301010758"	0.5
"4301010769"	0.5
"4301010786"	0.4
"4301010804"	0.5
"4301010805"	0.5
"4301010806"	0.5
"4301010809"	0.5
"4301010810"	0.5
"4301010854"	0.85
"4301010855"	0.85
"4301010834"	0.5
"4301010836"	0.5
"4301010838"	0.5
"4301010839"	0.5
"4301010845"	0.4
"4301010850"	0.4
"4301010813"	0.4
"4301010816"	0.4
"4301011094"	0.45
"4301011123"	0.5
"4301030851"	0.35
"4301030850"	0.35
"4301030852"	0.35
"4301030856"	0.7
"4301030857"	0.35
"4301030858"	0.9
"4301030869"	0
"4301030870"	0.7
"4301030871"	0.35
"4301030873"	0.35
"4301030875"	0.35
"4301030892"	0.9
"4301030893"	0.35
"4301030894"	0.35
"4301030895"	0.9
"4301030898"	0.35
"4301030899"	0.35
"4301030900"	0.35
"4301030902"	0.35
"4301030911"	0.9
"4301030912"	0.35
"4301030924"	0.35
"4301030925"	0.9
"4301030941"	0
"4301030823"	0.9
"4301030825"	0.4
"4301030826"	0.4
"4301030954"	0
"4301030955"	0
"4301030953"	0
"4301030956"	0
"4301030957"	0
"4301030997"	0.9
"4301030425"	0
"4301030426"	0
"4301030505"	0
"4301030506"	0
"4301030697"	1.4
"4301030698"	0.7
"4301030751"	0.8
"4301030754"	0.35
"4301030752"	0.9
"4301030756"	0.35
"4301030753"	0.9
"4301030755"	0.35
"4301030769"	0.8
"4301030770"	0.35
"4301030771"	0.35
"4301030772"	0.68
"4301030773"	0.8
"4301030774"	0.35
"4301030791"	0.35
"4301030792"	0.9
"4301030793"	0.35
"4301030802"	0.35
"4301030803"	0.9
"4301030804"	0.35
"4301030805"	0.8
"4301030806"	0.9
"4301030807"	0.8
"4301030809"	0.35
"4301030810"	0.35
